coefficient_name,value,constrain
walk_transit_CBD_ASC_work,3.27,T
CTArail_ASC_atwork,0.956,F
Express_bus_ASC_atwork,0.631,F
Metrarail_ASC_atwork,0.518,F
bike_ASC_auto_deficient_atwork,2.459316807,F
bike_ASC_auto_sufficient_atwork,12.45447635,F
bike_ASC_no_auto_atwork,7.914938097,F
coef_age010_trn_atwork,0,T
coef_age1619_da_atwork,0,T
coef_age16p_sr_atwork,0,T
coef_biketime_atwork,-0.09,T
coef_density_index_atwork,0.0511,F
coef_dtim_atwork,-0.0376,T
coef_hhsize1_sr_atwork,0,T
coef_hhsize2_sr_atwork,0,T
coef_inc_adj_cost_atwork,-0.155,F
coef_ivt_atwork,-0.03,T
coef_iwait_atwork,-0.045,T
coef_walktime_atwork,-0.074,T
coef_xwait_atwork,-0.06,T
wlktrn_metra_distpen_atwork,-8.1,T
drvtrn_distpen_atwork,-8.1,T
knr_transit_ASC_auto_deficient_atwork,-999,T
knr_transit_ASC_auto_sufficient_atwork,-999,T
knr_transit_ASC_no_auto_atwork,-999,T
knr_transit_CBD_ASC_atwork,0,T
pnr_transit_ASC_auto_deficient_atwork,-999,T
pnr_transit_ASC_auto_sufficient_atwork,-999,T
pnr_transit_ASC_no_auto_atwork,-999,T
pnr_transit_CBD_ASC_atwork,0,T
sr2_ASC_auto_deficient_atwork,-9.733045078,F
sr2_ASC_auto_sufficient_atwork,-6.69864347,F
sr2_ASC_no_auto_atwork,-14.38299751,F
sr3p_ASC_auto_deficient_atwork,-9.434351345,F
sr3p_ASC_auto_sufficient_atwork,-7.283621023,F
sr3p_ASC_no_auto_atwork,-15.77836875,F
taxi_ASC_auto_deficient_atwork,-7.330655968,F
taxi_ASC_auto_sufficient_atwork,-6.376482547,F
taxi_ASC_no_auto_atwork,-10.54134155,F
tnc_shared_ASC_auto_deficient_atwork,-8.871448821,F
tnc_shared_ASC_auto_sufficient_atwork,-999,T
tnc_shared_ASC_no_auto_atwork,-999,T
tnc_single_ASC_auto_deficient_atwork,-10.45818372,F
tnc_single_ASC_auto_sufficient_atwork,-8.569033586,F
tnc_single_ASC_no_auto_atwork,-12.55707158,F
tnc_transit_ASC_auto_deficient_atwork,-999,T
tnc_transit_ASC_auto_sufficient_atwork,-999,T
tnc_transit_ASC_no_auto_atwork,-999,T
tnc_transit_CBD_ASC_atwork,0,T
walk_ASC_auto_deficient_atwork,4.948452637,F
walk_ASC_auto_sufficient_atwork,2.407484001,F
walk_ASC_no_auto_atwork,10.66665024,F
walk_transit_ASC_auto_deficient_atwork,-4.929749454,F
walk_transit_ASC_auto_sufficient_atwork,-3.562191468,F
walk_transit_ASC_no_auto_atwork,-1.377324618,F
walk_transit_CBD_ASC_atwork,0.677,F
